"","...1","symbol","date","open","high","low","close","volume","adjusted","name","currency","exchange","industry","logo","weburl","environment_grade","environment_level","social_grade","social_level","governance_grade","governance_level","environment_score","social_score","governance_score","total_score","last_processing_date","total_grade","total_level","cik","baseline_price","after_shock","day","log_price","Industrials","Health Care","Information Technology","Utilities","Financials","Materials","Consumer Discretionary","Real Estate","Communication Services","Consumer Staples","Energy"
"1",1,"MMM",2022-10-10,90.7441482543945,91.2374572753906,89.6237487792969,90.6856155395508,3088550,80.1804962158203,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,0,4.50739875071301,1,0,0,0,0,0,0,0,0,0,0
"2",2,"MMM",2022-10-11,90.7190628051758,92.349494934082,90.2591934204102,91.0033416748047,3462898,80.4614105224609,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,1,4.51089622754378,1,0,0,0,0,0,0,0,0,0,0
"3",3,"MMM",2022-10-12,90.7775955200195,91.7224044799805,90.5100326538086,91.0953216552734,3290196,80.5427322387695,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,2,4.51190644899855,1,0,0,0,0,0,0,0,0,0,0
"4",4,"MMM",2022-10-13,89.882942199707,96.0117034912109,89.5234146118164,95.5351181030273,5708149,84.4682159423828,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,3,4.55949390871852,1,0,0,0,0,0,0,0,0,0,0
"5",5,"MMM",2022-10-14,95.5351181030273,96.2876281738281,94.3561859130859,95.0083618164062,4137323,84.0024948120117,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,4,4.55396490684715,1,0,0,0,0,0,0,0,0,0,0
"6",6,"MMM",2022-10-17,96.4130401611328,96.7558517456055,94.7240829467773,95.2006683349609,3592186,84.1725234985352,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,7,4.5559869620979,1,0,0,0,0,0,0,0,0,0,0
"7",7,"MMM",2022-10-18,96.772575378418,97.3244171142578,95.693977355957,96.9481582641602,3066544,85.7175750732422,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,8,4.57417638474866,1,0,0,0,0,0,0,0,0,0,0
"8",8,"MMM",2022-10-19,96.2374572753906,96.7224044799805,94.6822738647461,95.4849472045898,3084006,84.4238662719727,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,9,4.55896861416886,1,0,0,0,0,0,0,0,0,0,0
"9",9,"MMM",2022-10-20,95.3010025024414,96.6973266601562,94.3896331787109,94.5735778808594,3758908,83.6180877685547,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,10,4.54937813346033,1,0,0,0,0,0,0,0,0,0,0
"10",10,"MMM",2022-10-21,94.6070251464844,97.7759170532227,94.5234146118164,97.6672210693359,3997630,86.3533477783203,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,11,4.58156599681069,1,0,0,0,0,0,0,0,0,0,0
"11",11,"MMM",2022-10-24,98.2692337036133,99.6153869628906,97.9849472045898,98.9799346923828,4059344,87.5139923095703,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,14,4.59491714971733,1,0,0,0,0,0,0,0,0,0,0
"12",12,"MMM",2022-10-25,94.9080276489258,99.1638793945312,94.6070251464844,99.0802688598633,5997581,87.6027145385742,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,15,4.59593031818089,1,0,0,0,0,0,0,0,0,0,0
"13",13,"MMM",2022-10-26,99.9916381835938,103.08528137207,99.9916381835938,102.591972351074,5535088,90.7076187133789,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,16,4.63075968748333,1,0,0,0,0,0,0,0,0,0,0
"14",14,"MMM",2022-10-27,103.252510070801,104.055183410645,102.031776428223,102.675582885742,4444934,90.7815399169922,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,17,4.63157433682424,1,0,0,0,0,0,0,0,0,0,0
"15",15,"MMM",2022-10-28,102.82608795166,105.91136932373,102.433113098145,105.852844238281,4559870,93.5907287597656,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,18,4.66204986768072,1,0,0,0,0,0,0,0,0,0,0
"16",16,"MMM",2022-10-31,105.434783935547,105.727424621582,104.816055297852,105.175582885742,5174135,92.9919357299805,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,21,4.65563117151725,1,0,0,0,0,0,0,0,0,0,0
"17",17,"MMM",2022-11-01,105.994979858398,106.270904541016,104.155517578125,104.765884399414,2549633,92.6296768188477,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,22,4.65172818835043,1,0,0,0,0,0,0,0,0,0,0
"18",18,"MMM",2022-11-02,104.548492431641,106.028427124023,102.550163269043,102.72575378418,3063793,90.8258819580078,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,23,4.632062852627,1,0,0,0,0,0,0,0,0,0,0
"19",19,"MMM",2022-11-03,101.989967346191,103.913040161133,101.270904541016,102.717391967773,2400252,90.8184967041016,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,24,4.63198144989749,1,0,0,0,0,0,0,0,0,0,0
"20",20,"MMM",2022-11-04,104.063545227051,104.824417114258,102.976585388184,104.381271362305,2775438,92.2896423339844,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,25,4.64805026627431,1,0,0,0,0,0,0,0,0,0,0
"21",21,"MMM",2022-11-07,104.205688476562,104.640464782715,103.093643188477,104.247489929199,2289503,92.1713485717773,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,28,4.64676778297129,1,0,0,0,0,0,0,0,0,0,0
"22",22,"MMM",2022-11-08,104.816055297852,105.886291503906,103.712371826172,104.807693481445,2182461,92.6666641235352,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,0,29,4.65212718027497,1,0,0,0,0,0,0,0,0,0,0
"23",23,"MMM",2022-11-09,104.757522583008,105.083610534668,103.444816589355,103.53678894043,2131750,91.54296875,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,30,4.63992699824831,1,0,0,0,0,0,0,0,0,0,0
"24",24,"MMM",2022-11-10,106.739128112793,108.076919555664,106.078598022461,107.98494720459,3779001,95.4758453369141,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,31,4.68199183967496,1,0,0,0,0,0,0,0,0,0,0
"25",25,"MMM",2022-11-11,108.352844238281,111.613708496094,107.98494720459,111.187294006348,4101443,98.307243347168,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,32,4.71121611275518,1,0,0,0,0,0,0,0,0,0,0
"26",26,"MMM",2022-11-14,110.827758789062,111.964881896973,109.481605529785,109.556854248047,3127899,96.8656921386719,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,35,4.69644363138725,1,0,0,0,0,0,0,0,0,0,0
"27",27,"MMM",2022-11-15,110.802673339844,111.605354309082,108.503341674805,109.715721130371,3008060,97.0061264038086,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,36,4.6978926672263,1,0,0,0,0,0,0,0,0,0,0
"28",28,"MMM",2022-11-16,109.908027648926,109.908027648926,107.366218566895,107.642143249512,3837127,95.1727600097656,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,37,4.67881223693428,1,0,0,0,0,0,0,0,0,0,0
"29",29,"MMM",2022-11-17,105.476585388184,106.371238708496,104.239128112793,106.312705993652,2689804,95.0979614257812,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,38,4.66638480777821,1,0,0,0,0,0,0,0,0,0,0
"30",30,"MMM",2022-11-18,107.023414611816,107.307693481445,105.267555236816,105.986625671387,3798616,94.806282043457,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,39,4.66331291324015,1,0,0,0,0,0,0,0,0,0,0
"31",31,"MMM",2022-11-21,105.886291503906,106.923080444336,105.543479919434,106.714050292969,2575586,95.4569702148438,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,42,4.67015282998509,1,0,0,0,0,0,0,0,0,0,0
"32",32,"MMM",2022-11-22,107.148826599121,107.583610534668,106.454849243164,107.525085449219,2101492,96.1824569702148,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,43,4.67772417336113,1,0,0,0,0,0,0,0,0,0,0
"33",33,"MMM",2022-11-23,107.516723632812,107.959869384766,106.387962341309,107.023414611816,2810241,95.7337112426758,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,44,4.67304763867033,1,0,0,0,0,0,0,0,0,0,0
"34",34,"MMM",2022-11-25,107.75919342041,108.545150756836,107.458190917969,107.892974853516,1055350,96.5115203857422,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,46,4.68113976220672,1,0,0,0,0,0,0,0,0,0,0
"35",35,"MMM",2022-11-28,107.115386962891,107.508361816406,103.779266357422,104.214050292969,3317106,93.2206802368164,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,49,4.64644695989303,1,0,0,0,0,0,0,0,0,0,0
"36",36,"MMM",2022-11-29,103.745819091797,105.635452270508,103.687294006348,105.459869384766,2228268,94.3350830078125,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,50,4.65833049557288,1,0,0,0,0,0,0,0,0,0,0
"37",37,"MMM",2022-11-30,105.267555236816,105.560203552246,101.471572875977,105.32608795166,6973398,94.2154235839844,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,51,4.65706113728394,1,0,0,0,0,0,0,0,0,0,0
"38",38,"MMM",2022-12-01,106.438125610352,107.750839233398,104.77424621582,105.342811584473,3156005,94.2303771972656,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,52,4.65721990426743,1,0,0,0,0,0,0,0,0,0,0
"39",39,"MMM",2022-12-02,104.314384460449,106.396324157715,103.879600524902,106.178932189941,2178992,94.9783020019531,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,53,4.66512571050241,1,0,0,0,0,0,0,0,0,0,0
"40",40,"MMM",2022-12-05,104.573577880859,104.89966583252,103.904678344727,104.205688476562,2563148,93.2132110595703,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,56,4.64636671973477,1,0,0,0,0,0,0,0,0,0,0
"41",41,"MMM",2022-12-06,104.640464782715,105.125419616699,103.102005004883,104.163879394531,2295722,93.1758117675781,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,57,4.64596542233785,1,0,0,0,0,0,0,0,0,0,0
"42",42,"MMM",2022-12-07,103.954849243164,106.446487426758,103.762542724609,105.643814086914,3230994,94.4996337890625,"3M Co","USD","NEW YORK STOCK EXCHANGE, INC.","Industrial Conglomerates","https://static.finnhub.io/logo/2a1802fa-80ec-11ea-a0f5-00000000092a.png","https://www.3m.com/","A","High","BB","Medium","BB","Medium",526,310,305,1141,"16-04-2022","BBB","High",66740,90.6856155395508,1,58,4.66007319134849,1,0,0,0,0,0,0,0,0,0,0
"43",43,"AOS",2022-10-10,49.9000015258789,50.1399993896484,49.2799987792969,49.5800018310547,876400,46.672191619873,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,0,3.90358756353836,1,0,0,0,0,0,0,0,0,0,0
"44",44,"AOS",2022-10-11,49.5800018310547,49.9099998474121,48.9500007629395,49.310001373291,1175300,46.418025970459,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,1,3.89812692808619,1,0,0,0,0,0,0,0,0,0,0
"45",45,"AOS",2022-10-12,49.2400016784668,49.5900001525879,48.7400016784668,49.1300010681152,896200,46.2485885620117,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,2,3.89446986792115,1,0,0,0,0,0,0,0,0,0,0
"46",46,"AOS",2022-10-13,47.5299987792969,49.3899993896484,46.5800018310547,48.8600006103516,3153000,45.9944190979004,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,3,3.88895907832144,1,0,0,0,0,0,0,0,0,0,0
"47",47,"AOS",2022-10-14,49.1500015258789,49.5999984741211,48.2099990844727,49.0400009155273,2017600,46.1638641357422,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,4,3.89263631029695,1,0,0,0,0,0,0,0,0,0,0
"48",48,"AOS",2022-10-17,50.0800018310547,51.8699989318848,50.0099983215332,51.6100006103516,2260800,48.583137512207,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,7,3.94371546398686,1,0,0,0,0,0,0,0,0,0,0
"49",49,"AOS",2022-10-18,52.6199989318848,52.9700012207031,51.2000007629395,51.7599983215332,1733200,48.7243347167969,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,8,3.94661761776477,1,0,0,0,0,0,0,0,0,0,0
"50",50,"AOS",2022-10-19,51.2000007629395,51.8199996948242,50.2400016784668,50.7700004577637,1272300,47.7924003601074,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,9,3.92730563797572,1,0,0,0,0,0,0,0,0,0,0
"51",51,"AOS",2022-10-20,50.8400001525879,51.1699981689453,48.6800003051758,48.7599983215332,955000,45.9002876281738,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,10,3.88691027019004,1,0,0,0,0,0,0,0,0,0,0
"52",52,"AOS",2022-10-21,49.0699996948242,50.2900009155273,48.6699981689453,50.1300010681152,990200,47.1899337768555,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,11,3.91461965258232,1,0,0,0,0,0,0,0,0,0,0
"53",53,"AOS",2022-10-24,50.4099998474121,51.310001373291,50.2000007629395,50.7999992370605,840900,47.8206405639648,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,14,3.92789633956594,1,0,0,0,0,0,0,0,0,0,0
"54",54,"AOS",2022-10-25,50.8600006103516,52.189998626709,50.8600006103516,52.0999984741211,1033100,49.0443954467773,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,15,3.95316491947182,1,0,0,0,0,0,0,0,0,0,0
"55",55,"AOS",2022-10-26,52.1199989318848,52.9000015258789,51.6599998474121,51.9500007629395,1416900,48.9031944274902,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,16,3.95028173223127,1,0,0,0,0,0,0,0,0,0,0
"56",56,"AOS",2022-10-27,53.0699996948242,53.7999992370605,51.7700004577637,51.9000015258789,1332100,48.856128692627,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,17,3.94931881957221,1,0,0,0,0,0,0,0,0,0,0
"57",57,"AOS",2022-10-28,51.9599990844727,54.4900016784668,51.9199981689453,54.3800010681152,1063200,51.4883003234863,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,18,3.99599645884602,1,0,0,0,0,0,0,0,0,0,0
"58",58,"AOS",2022-10-31,54.060001373291,55.1800003051758,53.8800010681152,54.7799987792969,2528000,51.8670272827148,"A O Smith Corp","USD","NEW YORK STOCK EXCHANGE, INC.","Building","https://static.finnhub.io/logo/73381be8-80eb-11ea-b385-00000000092a.png","https://www.aosmith.com/","A","High","BB","Medium","BB","Medium",510,315,310,1135,"16-04-2022","BBB","High",91142,49.5800018310547,0,21,4.0033251415512,1,0,0,0,0,0,0,0,0,0,0
